Placa,Data de Utilizacao,Valor Cobrado,Endereco do Estabelecimento,Nome do Estabelecimento
PXD7G42,25/03/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DWH6543,26/03/2024,"12,4","SP 280, 111.3, LESTE, BOITUVA - SP",RODOVIAS DAS COLINAS S.A
PXD7G42,26/03/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DFJ9195,26/03/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIA7B06,26/03/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
FYX6I43,26/03/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
BQU4D69,26/03/2024,"17,5","SP 280, 158.3, OESTE, QUADRA - SP",RODOVIAS INTEGRADAS DO OESTE S.A
GIY1B04,26/03/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
QUA2G54,26/03/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,26/03/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
BQU4D69,26/03/2024,"17,5","SP 280, 158.3, LESTE, QUADRA - SP",RODOVIAS INTEGRADAS DO OESTE S.A
PWS9889,27/03/2024,"5,1","SP 270, 111.0, OESTE, ARACOIABA DA SERRA - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,27/03/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
PXD7G42,27/03/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
