Placa,Data de Utilizacao,Valor Cobrado,Endereco do Estabelecimento,Nome do Estabelecimento
338366,19/04/2024,1000,Automatica-CARTAO_DE_CREDITO,
QUA2G54,19/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,19/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
GIA7B06,19/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
QUA2G54,20/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,20/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DWH6543,22/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
PXD7G42,22/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DFJ9195,22/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIA7B06,22/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
BQU4D69,22/04/2024,"17,5","SP 280, 158.3, LESTE, QUADRA - SP",RODOVIAS INTEGRADAS DO OESTE S.A
QUA2G54,22/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIY1B04,22/04/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,23/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DFJ9195,23/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
PXD7G42,23/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
GIA7B06,23/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GFQ2C31,23/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
BQU4D69,23/04/2024,"17,5","SP 280, 158.3, OESTE, QUADRA - SP",RODOVIAS INTEGRADAS DO OESTE S.A
GIY1B04,23/04/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
QUA2G54,23/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
BQU4D69,23/04/2024,"17,5","SP 280, 158.3, LESTE, QUADRA - SP",RODOVIAS INTEGRADAS DO OESTE S.A
DWH6543,24/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
PXD7G42,24/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
FLL4673,24/04/2024,"8,9","SP 300 - RODOVIA MARECHAL RONDON, 192.1, LESTE, CONCHAS - SP",CONCESSIONARIA RODOVIAS DO TIETE S.A
FLL4673,24/04/2024,"8,9","SP 300 - RODOVIA MARECHAL RONDON, 192.1, OESTE, CONCHAS - SP",CONCESSIONARIA RODOVIAS DO TIETE S.A
DFJ9195,24/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIA7B06,24/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
FEA0472,24/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
FEA0472,24/04/2024,"12,4","SP 280, 111.3, LESTE, BOITUVA - SP",RODOVIAS DAS COLINAS S.A
QUA2G54,24/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIY1B04,24/04/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
QUA2G54,25/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIY1B04,25/04/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIA7B06,25/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DFJ9195,25/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
PXD7G42,25/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DWH6543,25/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DWH6543,26/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
PXD7G42,26/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
GIA7B06,26/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIY1B04,26/04/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
QUA2G54,26/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DFJ9195,26/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
QUA2G54,27/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,27/04/2024,"12,4","SP 280, 111.3, LESTE, BOITUVA - SP",RODOVIAS DAS COLINAS S.A
DWH6543,29/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
GIA7B06,29/04/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
PXD7G42,29/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
GFQ2C31,29/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
ERF3783,29/04/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
QUA2G54,29/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DFJ9195,29/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
QUA2G54,30/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
EIB4306,30/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GFQ2C31,30/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,30/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
